,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle,year
87,Monday,15 December 2014,8.0,Moscone West,Not an Option,0.0,Global Environmental Change,"Future Water Services Developed Using a Cloud-Based Infrastructure and Other Interoperability and Integration Tools for Observations, Models, Data Products, and Analysis Capabilities",Poster,0.0,1.0,2014
90,Tuesday,16 December 2014,2.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Technology Trends for Big Science Data Management,Poster,0.0,1.0,2014
91,Tuesday,16 December 2014,13.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Coupling of Ionospheric Processes and Conjugate Phenomena,Poster,0.0,1.0,2014
92,Wednesday,17 December 2014,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Improving Emissions Through Observations,Poster,0.0,1.0,2014
93,Wednesday,17 December 2014,1.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Tropical Cyclones,Poster,0.0,1.0,2014
94,Friday,19 December 2014,4.0,Moscone West,Poster Hall,0.0,Hydrology,Utilizing Precipitation Data Sets and Quantifying Associated Uncertainties in Hydrometeorological and Climate Impact Applications,Poster,0.0,1.0,2014
95,Thursday,18 December 2014,3.0,Moscone West,2009,0.0,Planetary Sciences,"Accretion, Differentiation, and Early Planetary Evolution",Oral,0.0,1.0,2014
97,Thursday,18 December 2014,3.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Dark Data,Poster,0.0,1.0,2014
98,Friday,19 December 2014,3.0,Moscone West,Poster Hall,0.0,Global Environmental Change,Coupled Natural Human System Research Across Scales,Poster,0.0,1.0,2014
99,Thursday,18 December 2014,7.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Remote Sensing of the Carbon Cycle,Poster,0.0,1.0,2014
100,Friday,19 December 2014,2.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,River-Floodplain Connectivity,Poster,0.0,1.0,2014
101,Wednesday,17 December 2014,5.0,Moscone West,Not an Option,0.0,Hydrology,"Hydrologic, Water Quality, and Ecological Responses to Climatic Variability and Change at the Watershed Scale",Poster,0.0,1.0,2014
102,Tuesday,16 December 2014,5.0,Moscone West,2012,0.0,SPA-Solar and Heliospheric Physics,"Solar and Heliospheric Physics General Contributions Solar Wind, Stream Interaction Regions, Cosmic Rays, and Pickup Ions",Oral,0.0,1.0,2014
103,Wednesday,17 December 2014,4.0,Moscone West,2006,0.0,Biogeosciences,Land-Use and Land-Cover Change,Oral,0.0,1.0,2014
104,Friday,19 December 2014,2.0,Moscone West,3011,0.0,Hydrology,Remote Sensing of Rivers,Oral,0.0,1.0,2014
105,Tuesday,16 December 2014,2.0,Moscone South,Poster Hall,0.0,Seismology,Decade of Megatsunamis,Poster,0.0,1.0,2014
107,Tuesday,16 December 2014,6.0,Moscone West,2016,0.0,SPA-Aeronomy,Understanding Hemispheric Asymmetry and Space Weather,Poster,0.0,1.0,2014
108,Tuesday,16 December 2014,3.0,Moscone South,102,0.0,Education,Climate Literacy,Oral,0.0,1.0,2014
109,Wednesday,17 December 2014,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Cloud Observations and Uncertainties,Poster,0.0,1.0,2014
110,Friday,19 December 2014,3.0,Moscone West,Poster Hall,1411.0,Hydrology,Evapotranspiration,Poster,0.0,1.0,2014
111,Monday,15 December 2014,13.0,Moscone West,Poster Hall,0.0,Global Environmental Change,Ecosystem Services,Poster,0.0,1.0,2014
112,Friday,19 December 2014,3.0,Moscone South,102,0.0,Biogeosciences,Iron Cycling in Terrestrial Ecosystems and Extreme Environments,Oral,0.0,1.0,2014
113,Monday,15 December 2014,9.0,Moscone South,Poster Hall,0.0,Seismology,Seismology Contributions,Poster,0.0,1.0,2014
114,Wednesday,17 December 2014,5.0,Moscone West,3011,0.0,Hydrology,Remote Sensing and Modeling of the Terrestrial Water Cycle,Oral,0.0,1.0,2014
115,Thursday,18 December 2014,10.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Advances in Analysis and Prediction of Rock Falls, Rock Slides, and Rock Avalanches",Poster,0.0,1.0,2014
116,Wednesday,17 December 2014,5.0,Moscone West,Poster Hall,0.0,Cryosphere,Advances in Cryospheric Applications of Modern Digital Photogrammetry,Poster,0.0,1.0,2014
118,Friday,19 December 2014,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,The Role of Water on Atmospheric Chemical Processes,Poster,0.0,1.0,2014
119,Thursday,18 December 2014,2.0,Moscone West,Poster Hall,0.0,Cryosphere,Snow Hydrology,Poster,0.0,1.0,2014
120,Tuesday,16 December 2014,4.0,Moscone West,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Cenozoic through Modern Climate and Glacial Records and Processes at High-Latitude Margins,Poster,0.0,1.0,2014
123,Wednesday,17 December 2014,3.0,Moscone South,Poster Hall,0.0,Geomagnetism and Paleomagnetism,"Imaging Near-Surface to Deep Lithospheric Structure Using Gravity, Magnetic, and Electromagnetic Methods",Poster,0.0,1.0,2014
124,Tuesday,16 December 2014,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Advances in Spectral and Polarimetric Remote Sensing and Retrieval Techniques for the Characterization of the Atmosphere,Poster,0.0,1.0,2014
125,Friday,19 December 2014,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Regional Climate Modeling,Poster,0.0,1.0,2014
126,Thursday,18 December 2014,6.0,Moscone West,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Understanding Uncertainties in Paleoclimate and Paleoecology,Poster,0.0,1.0,2014
127,Tuesday,16 December 2014,3.0,Marriott Marquis,12,0.0,Natural Hazards,Tsunami Hazards and the Responses of Human and Physical Environmental Systems to Tsunami Forcing,Poster,0.0,1.0,2014
128,Friday,19 December 2014,8.0,Moscone South,Poster Hall,0.0,Education,The Role of Scientists as Communicators,Poster,0.0,1.0,2014
129,Thursday,18 December 2014,5.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Remote Sensing of the Carbon Cycle,Poster,0.0,1.0,2014
130,Monday,15 December 2014,2.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Active Experiments in Ionospheric Modification and Probing,Poster,0.0,1.0,2014
131,Friday,19 December 2014,16.0,Moscone West,2011,439.0,Planetary Sciences,Current Processes in the Atmosphere of Mars,Oral,0.0,1.0,2014
132,Monday,15 December 2014,6.0,Marriott Marquis,Salon 9,0.0,Tectonophysics,India-Asia Collision from Head-on Continent-Continent Collision to Highly Oblique Oceanic Subduction,Oral,0.0,1.0,2014
133,Friday,19 December 2014,3.0,Moscone South,300,465.0,Geomagnetism and Paleomagnetism,Geomagnetic Paleointensity and Paleosecular Variation,Oral,0.0,1.0,2014
134,Thursday,18 December 2014,4.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Cross-Energy Interactions in the Inner Magnetosphere,Poster,0.0,1.0,2014
135,Monday,15 December 2014,4.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Physical Volcanology and Volcano Development in Aqueous and Terrestrial Environments,Poster,0.0,1.0,2014
136,Monday,15 December 2014,15.0,Moscone West,Not an Option,0.0,Biogeosciences,Sea Level Rise +,Poster,0.0,1.0,2014
137,Friday,19 December 2014,6.0,Moscone West,Poster Hall,0.0,Cryosphere,Deep and Dark,Poster,0.0,1.0,2014
139,Thursday,18 December 2014,5.0,Moscone West,2003,0.0,Biogeosciences,Vulnerability of Permafrost Carbon to Climate Change,Poster,0.0,1.0,2014
