,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
5086,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Cloud-Scale Processes,Poster,0.0,17.0
5087,Friday,18 December 2015,5.0,Moscone West,2006,0.0,Biogeosciences,Remote Sensing of Forests and Plantations in the Tropical and Subtropical Zones,Oral,1.0,11.0
5088,Thursday,17 December 2015,4.0,Moscone West,3004,0.0,Atmospheric Sciences,Tropical Cyclones,Oral,0.0,10.0
5089,Wednesday,16 December 2015,6.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","How and When Do Volcanic Eruptions Start and Stop, and What Controls the Tempo of Everything in Between",Poster,0.0,13.0
5090,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Mercury after MESSENGER,Poster,0.0,13.0
5091,Friday,18 December 2015,6.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Ionospheric Outflow from Earth and Other Terrestrial Planets and Its Importance as a Source of Plasma for Magnetospheres,Poster,0.0,18.0
5092,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Inland Waters as Dynamic Foci in Climate Systems,Poster,0.0,9.0
5093,Tuesday,15 December 2015,4.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,"Bow Shock, Magnetosheath, Magnetopause, and Mid-Tail Processes and Their Role in Solar Wind-Magnetosphere Coupling",Poster,0.0,21.0
5094,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Education,Climate Literacy in Multidisciplinary Higher Education,Poster,0.0,3.0
5097,Tuesday,15 December 2015,9.0,Moscone South,Poster Hall,0.0,Tectonophysics,Deep structure of Tibetan Plateau and Surrounding Regions and Its Geodynamic Implications,Poster,0.0,15.0
5098,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Teleconnections in Hydrological Systems at Decadal Timescales,Poster,0.0,21.0
5099,Wednesday,16 December 2015,1.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Approaching Kappa Distributions,Poster,0.0,7.0
5100,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Public Affairs,An Interoperability Challenge for the Geosciences,Poster,0.0,3.0
5101,Monday,14 December 2015,5.0,Moscone West,2016,0.0,SPA-Aeronomy,Magnetosphere-Ionosphere-Thermosphere Coupling in the Polar Cap,Oral,0.0,6.0
5103,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,"Water, Energy, and Society in Urban Systems",Poster,0.0,9.0
5104,Wednesday,16 December 2015,1.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Morphodynamics and Sedimentology of the Fluvial-Tidal Zone,Poster,0.0,9.0
5105,Wednesday,16 December 2015,3.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,New Insights into Impulsive Heating of the Magnetically Closed Corona,Oral,1.0,14.0
5106,Friday,18 December 2015,6.0,Moscone West,3014,0.0,Hydrology,Estimation of Spatial and Temporal Variability of Land Surface Hydrological and Thermal Processes,Oral,1.0,11.0
5107,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Natural Hazards,Seismology without Seismometers,Poster,0.0,11.0
5108,Thursday,17 December 2015,8.0,Moscone South,Poster Hall,0.0,Cryosphere,Climate-Carbon-Cryosphere Interactions in the East Siberian Arctic Ocean,Poster,0.0,15.0
5109,Friday,18 December 2015,1.0,Moscone West,3004,0.0,Atmospheric Sciences,Identifying Links between the Large-Scale Atmospheric Circulation and Climate Extremes,Oral,1.0,15.0
5111,Monday,14 December 2015,8.0,Moscone West,2003,0.0,Paleoceanography and Paleoclimatology,Multiproxy Records for Climatic and Oceanic Reconstructions,Oral,0.0,7.0
5112,Tuesday,15 December 2015,9.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology General Contributions,Poster,0.0,19.0
5113,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Refilling of the Plasmasphere,Poster,1.0,15.0
5115,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,"Properties, Structure, and Dynamics of the Earth's Deep Mantle",Poster,0.0,15.0
5116,Friday,18 December 2015,14.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,"Taking Smallsats to the Next Level, Enabling New Science",Poster,0.0,1.0
5117,Wednesday,16 December 2015,1.0,Moscone South,102,0.0,Union,New Generation of Scientists,Poster,1.0,7.0
5118,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Fog,Poster,0.0,10.0
5119,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric and Space Electricity,Energetic Radiation from Lightning and Thunderstorms,Poster,0.0,14.0
5120,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Water Quality and Water Contamination in Rivers,Poster,0.0,14.0
5121,Tuesday,15 December 2015,6.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",The Earth's Geodynamic Carbon Cycle,Poster,0.0,4.0
5122,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","Volcanology, Geochemistry, and Petrology General Contributions",Poster,0.0,19.0
5123,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Taking the Temperature of the Earth,Poster,0.0,21.0
5124,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Black- and Brown-Carbon Light-Absorbing Aerosols,Poster,0.0,11.0
5125,Friday,18 December 2015,1.0,Moscone South,Poster Hall,0.0,Tectonophysics,"Characterizing Fault Zones in Space, Time, Temperature, and Texture",Poster,0.0,13.0
5126,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Dynamical Downscaling,Poster,0.0,15.0
5127,Monday,14 December 2015,11.0,Moscone West,2009,0.0,SPA-Magnetospheric Physics,Geospace Research from Polar Environments,Poster,0.0,9.0
5129,Friday,18 December 2015,4.0,Moscone West,3012,0.0,Atmospheric Sciences,Mineral Dust Aerosols,Oral,0.0,15.0
5130,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Solar and Heliospheric Physics General Contributions,Poster,0.0,14.0
5131,Thursday,17 December 2015,4.0,Moscone West,3006,0.0,Atmospheric Sciences,Cloud Observations and Uncertainties,Oral,0.0,20.0
5132,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Geomagnetism and Paleomagnetism,The Geomagnetic Field on Long Timescales,Poster,0.0,24.0
5133,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Biogeosciences,"Wetland Greenhouse Gas (GHG) Fluxes and Carbon Sequestration under a Changing Climate, Sea Level, and Environment",Poster,0.0,10.0
5134,Friday,18 December 2015,2.0,Moscone West,3016,0.0,Hydrology,"Flow, Mixing, and Reaction",Poster,0.0,7.0
5135,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Advances in Analysis and Prediction of Rock Falls, Rock Slides, and Rock Avalanches",Poster,0.0,20.0
5136,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Quantifying Model Uncertainties and Robustness in Climate Projections for Hydrological Applications,Poster,0.0,12.0
5137,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydrometeorological Extremes Forecasting,Poster,0.0,20.0
5138,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Climate Impacts on Forest Ecosystems,Poster,0.0,8.0
5139,Tuesday,15 December 2015,5.0,Moscone West,2016,0.0,SPA-Aeronomy,Geospace Disturbances during Recent Solar Storms,Oral,0.0,11.0
5140,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Large-Scale Atmospheric Transport and Mixing,Poster,0.0,29.0
5141,Friday,18 December 2015,3.0,Moscone West,2024,0.0,Global Environmental Change,Renewable Energy,Oral,0.0,3.0
5142,Thursday,17 December 2015,4.0,Moscone South,306,0.0,Tectonophysics,Geologic and Geodynamic Evolution of the Arctic Region,Oral,0.0,14.0
5143,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Recent Advances in Understanding the Magnetospheric Waves and Their Effects on Energetic Particles,Poster,0.0,10.0
5144,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Peridotite Records of Mantle Dynamics,Poster,0.0,10.0
5145,Tuesday,15 December 2015,4.0,Moscone South,303,0.0,Study of Earth's Deep Interior,Multidisciplinary Views of the Lithosphere-Asthenosphere Boundary and Lithospheric Discontinuities,Oral,0.0,11.0
5146,Wednesday,16 December 2015,4.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Solar Activity in Cycle 24 and Beyond,Poster,1.0,11.0
5147,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Novel Environmental Sensor Strategies,Poster,0.0,11.0
5148,Wednesday,16 December 2015,3.0,Moscone West,3008,0.0,Atmospheric Sciences,Regional Climate Modeling,Oral,0.0,14.0
5149,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Planetary Sciences,The Rosetta Mission,Poster,0.0,12.0
5150,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Tectonophysics,Characterizing Cratons and Craton Margins,Poster,0.0,10.0
5151,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Tectonophysics,The Mechanism of Tectonic Tremor,Poster,0.0,9.0
5152,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Planetary Sciences,"The Physical Conditions Controlling Life's Origin, Evolution, and End",Poster,0.0,9.0
5153,Friday,18 December 2015,12.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Multiproxy Records for Climatic and Oceanic Reconstructions,Poster,0.0,21.0
5154,Thursday,17 December 2015,6.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Remote Sensing of CO2 and CH4 from Space,Poster,0.0,14.0
5155,Wednesday,16 December 2015,14.0,Moscone West,3004,0.0,Atmospheric Sciences,Advances in Instrumentation and Methods for Atmospheric Chemistry,Oral,0.0,7.0
5156,Friday,18 December 2015,4.0,Moscone West,3012,0.0,Atmospheric Sciences,Mineral Dust Aerosols,Oral,0.0,14.0
5157,Tuesday,15 December 2015,5.0,Moscone South,Poster Hall,0.0,Geodesy,"Gravity, Geoids, and Geopotential Reference Frames",Poster,0.0,15.0
5158,Friday,18 December 2015,1.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Unique Science Opportunities during the 21 August 2017 Total Solar Eclipse,Poster,1.0,16.0
5160,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Fluvial Morphodynamics,Poster,0.0,5.0
5161,Friday,18 December 2015,6.0,Moscone West,3003,0.0,Global Environmental Change,Toward Better Understanding of the Impacts of Climate Variability,Oral,0.0,7.0
5163,Tuesday,15 December 2015,8.0,Moscone West,2012,170.0,Paleoceanography and Paleoclimatology,Demystifying the Miocene-Pliocene,Oral,1.0,11.0
5164,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Air Quality Research,Poster,0.0,13.0
5165,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Advances in Isotope Analysis and Other Tracers for Biosphere-Atmosphere Exchange and Environmental Monitoring,Poster,0.0,20.0
5166,Thursday,17 December 2015,7.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Evolution of Solar Wind Transients through the Heliosphere and Associated Space Weather Effects,Oral,0.0,15.0
5167,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Modeling Hydrological Processes and Changes,Poster,0.0,9.0
5168,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Best Practices in Meaningful and Authentic Science Outreach to Formal and Informal Audiences,Poster,0.0,23.0
5169,Thursday,17 December 2015,5.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Global Change Impacts in West Africa,Poster,0.0,24.0
5170,Wednesday,16 December 2015,6.0,Moscone South,Poster Hall,0.0,Biogeosciences,Biosphere-Atmosphere Greenhouse Gas Fluxes in Terrestrial Ecosystems,Poster,0.0,13.0
5172,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,Hydrology,Remote Sensing Applications for Water Resources Management,Poster,0.0,17.0
5173,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Biogeosciences,The Bioatmospheric N Cycle,Poster,0.0,26.0
5174,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Cryosphere,"Frozen Soil, Its Change, and the Responses and Feedbacks of the Frozen Soil Change in Atmosphere, Hydrology, and Ecosystem",Poster,0.0,10.0
5175,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Using Current Chemistry and Mineralogy Data to Guide Future Discoveries from Mars 2020,Poster,0.0,15.0
5176,Wednesday,16 December 2015,1.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Direct Imaging of Habitable Exoplanets,Poster,0.0,11.0
5177,Friday,18 December 2015,4.0,Moscone West,3016,0.0,Hydrology,"Flow, Mixing, and Reaction",Oral,0.0,15.0
5178,Friday,18 December 2015,1.0,Moscone South,Poster Hall,0.0,Hydrology,Modeling the Critical Zone,Poster,0.0,1.0
5179,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Tropical Cyclones and Climate on All Timescales,Poster,0.0,13.0
5181,Tuesday,15 December 2015,1.0,Moscone West,3008,0.0,Atmospheric Sciences,Madden-Julian Oscillation,Oral,1.0,17.0
5182,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Interdisciplinary Advances in Subsurface Contaminant Transport and Remediation,Poster,0.0,8.0
5183,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Advancements in Understanding Deep-Sea Clastic Sedimentary Processes,Poster,0.0,19.0
5184,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Tropical Cyclones and Climate on All Timescales,Poster,0.0,14.0
5186,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,"Extratropical and High-Latitude Storms, Teleconnections, Extreme Weather, and the Changing Polar Climate",Poster,0.0,15.0
5187,Friday,18 December 2015,6.0,Moscone South,Poster Hall,0.0,Tectonophysics,Rifts and Passive Margins,Poster,0.0,13.0
5188,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,395.0,Cryosphere,"Frozen Soil, Its Change, and the Responses and Feedbacks of the Frozen Soil Change in Atmosphere, Hydrology, and Ecosystem",Poster,0.0,16.0
5191,Thursday,17 December 2015,5.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Solar and Heliospheric Physics General Contributions,Poster,0.0,7.0
5192,Monday,14 December 2015,4.0,Moscone South,304,0.0,Tectonophysics,Subduction across Scales,Poster,0.0,6.0
5193,Friday,18 December 2015,6.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Trace Metal Cycling in the Environment,Poster,0.0,10.0
5194,Wednesday,16 December 2015,1.0,Moscone South,Poster Hall,0.0,Earth and Space Science Informatics,Toward a Career in Data Science,Poster,0.0,6.0
5195,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Hydrology,"Efficient Diagnostics, Sensitivity, and Uncertainty Analysis of Complex Environmental Models",Poster,0.0,18.0
5196,Friday,18 December 2015,10.0,Moscone South,Poster Hall,0.0,Hydrology,Subsurface Control of Fractures and Flow for Responsible Energy Production and Storage,Poster,0.0,5.0
5197,Monday,14 December 2015,7.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Status and Challenges in Coronal Heating,Poster,0.0,9.0
5198,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Black- and Brown-Carbon Light-Absorbing Aerosols,Poster,0.0,14.0
5199,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Turbulence and Dissipation in the Solar Wind Plasma,Poster,0.0,11.0
5201,Friday,18 December 2015,14.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,"Taking Smallsats to the Next Level, Enabling New Science",Poster,0.0,13.0
5202,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Earth and Planetary Surface Processes,Poster,0.0,7.0
5204,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,Education,Teaching the Scientific Method as an Integral Part of Earth and Physical Science Classes -,Poster,0.0,9.0
5205,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,SPA-Aeronomy,Atmospheric Gravity Wave Dynamics and Vertical Coupling from Their Sources to Their Altitudes of Dissipation,Poster,0.0,13.0
5206,Monday,14 December 2015,4.0,Moscone South,303,0.0,Education,Emerging Challenges and Solutions in Running Inclusive Research Experiences for Undergraduates (REUs) in the Geosciences,Oral,0.0,9.0
5207,Friday,18 December 2015,1.0,Moscone South,Poster Hall,0.0,Tectonophysics,Rifts and Passive Margins,Poster,0.0,21.0
5208,Thursday,17 December 2015,7.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Global Change Impacts in West Africa,Poster,0.0,20.0
5209,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Air Quality Research,Poster,0.0,17.0
5210,Tuesday,15 December 2015,1.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,The Role of Magnetotail Transients in Magnetospheric Dynamics,Oral,0.0,9.0
5212,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Hydrothermal Systems,Poster,0.0,14.0
5213,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Ionospheric Outflow from Earth and Other Terrestrial Planets and Its Importance as a Source of Plasma for Magnetospheres,Poster,0.0,11.0
5215,Monday,14 December 2015,5.0,Moscone West,3002,0.0,Atmospheric Sciences,Understanding and Attributing Extreme Weather Events and Their Impacts across Actors and Spatial Scales (Half Session),Oral,0.0,10.0
5216,Monday,14 December 2015,6.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Advances in Atmospheric Remote Sensing Techniques and Theories,Poster,0.0,20.0
5217,Tuesday,15 December 2015,9.0,Moscone South,303,0.0,Study of Earth's Deep Interior,Geochemical and Geophysical Links between Subduction Zone Dynamics and Arc Systems,Oral,0.0,12.0
5218,Friday,18 December 2015,1.0,Moscone West,2008,0.0,Biogeosciences,Integrating In Situ and Remote Sensing Observations of the Terrestrial Biosphere to Provide Insights into Earth System Function,Poster,0.0,16.0
5219,Friday,18 December 2015,9.0,Moscone South,Poster Hall,0.0,Tectonophysics,Scientific Advances from Subduction Zone Observatories,Poster,0.0,18.0
5220,Wednesday,16 December 2015,4.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Multidisciplinary Studies of Hydrocarbon Seeps on Global Margins,Poster,0.0,8.0
5221,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Innovative Approaches to Deciphering Metamorphic Processes,Poster,0.0,20.0
5222,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Environmental Vadose Zone Hydrology,Poster,0.0,20.0
5223,Thursday,17 December 2015,3.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",The Tempo of Continental Flood Basalt Eruptions,Poster,0.0,12.0
5224,Thursday,17 December 2015,5.0,Moscone South,Poster Hall,0.0,Seismology,Progress in Ambient Seismic Field Studies Driven by Complete Wavefields Initiatives,Poster,0.0,24.0
5225,Friday,18 December 2015,7.0,Moscone South,103,0.0,Natural Hazards,Flood Risk Management in a Changing World,Oral,0.0,9.0
5226,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,The Role of Meltwater in Abrupt Climate Change,Poster,0.0,13.0
5229,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Hydrothermal Systems,Poster,0.0,8.0
5230,Tuesday,15 December 2015,9.0,Moscone West,3007,0.0,Cryosphere,Recent Discoveries and Challenges in Constraining Surface Mass Balance over Ice Sheets and Glaciers,Poster,0.0,15.0
5231,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Wildfire in a Changing World,Poster,0.0,14.0
5232,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Geochemical and Geophysical Links between Subduction Zone Dynamics and Arc Systems,Poster,0.0,6.0
5233,Monday,14 December 2015,6.0,Moscone South,Poster Hall,0.0,Seismology,Bridging the Moho,Poster,0.0,7.0
5235,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","How and When Do Volcanic Eruptions Start and Stop, and What Controls the Tempo of Everything in Between",Poster,0.0,16.0
5236,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Isotope Proxies in the Critical Zone,Poster,0.0,9.0
5238,Thursday,17 December 2015,5.0,Moscone South,Poster Hall,0.0,Hydrology,Runoff Generation Processes in Changing Environments,Poster,0.0,11.0
5239,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Stream Hydrology, Stream Temperature, Water Quality, and Aquatic Habitats under Climatic Variability and Change",Poster,1.0,13.0
5241,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Evapotranspiration,Poster,0.0,12.0
5242,Tuesday,15 December 2015,7.0,Moscone West,3018,0.0,Ocean Sciences,"Interplay between Tectonics, Oceanography, Hydrothermal Circulation, and Microbial Processes in the Gulf of California",Oral,0.0,15.0
5243,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,"Bow Shock, Magnetosheath, Magnetopause, and Mid-Tail Processes and Their Role in Solar Wind-Magnetosphere Coupling",Poster,0.0,12.0
5244,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,"Multisensor, Model, and Measurement Synergy",Poster,0.0,12.0
5245,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Biogeosciences,Africa GHG,Poster,0.0,11.0
5246,Wednesday,16 December 2015,1.0,Moscone South,303,0.0,Education,Experience-Based Learning,Oral,1.0,10.0
5247,Wednesday,16 December 2015,5.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Hydraulic Reconstructions of Sedimentary Deposits and Landforms,Poster,0.0,11.0
5248,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Constraints on Heterogeneities in Earth's Mantle,Poster,0.0,9.0
5249,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Seismology,Advances in Understanding Slow Slip and Transitional Regions,Poster,0.0,19.0
5251,Monday,14 December 2015,13.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Arctic Tropospheric Composition,Poster,0.0,13.0
5254,Monday,14 December 2015,3.0,Moscone West,2009,0.0,Planetary Sciences,Results from the MAVEN Mission to Mars,Oral,0.0,8.0
5255,Thursday,17 December 2015,3.0,Moscone West,3007,0.0,Cryosphere,Laser Altimetry over Polar Snow and Ice,Oral,0.0,2.0
5256,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Natural Hazards,Science for Disaster Risk Reduction,Poster,0.0,8.0
5257,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Evolution of Solar Wind Transients through the Heliosphere and Associated Space Weather Effects,Poster,0.0,12.0
5258,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,"Advances in the Remote Sensing of the Atmosphere, Surface, and Subsurface using Global Navigation Satellite Systems and Other Broadcast Signals",Poster,0.0,9.0
5259,Thursday,17 December 2015,4.0,Moscone South,309,0.0,Natural Hazards,"Landslide Hazard, Vulnerability, and Risk Analysis",Oral,0.0,9.0
5261,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,"Advances in Watershed Modeling of Hydrology, Sediment, and Nutrients",Poster,0.0,9.0
5262,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Hydrology,Interacting Physical and Ecological Processes across Terrestrial and Aquatic Systems,Poster,0.0,26.0
5263,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Utilizing Precipitation Data Sets and Quantifying Associated Uncertainties in Hydrometeorological and Climate Impact Applications,Poster,0.0,15.0
5265,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Aerosol Property Affected by Biomass Burning,Poster,0.0,9.0
5266,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,The Third Pole Environment (TPE) under Global Changes,Poster,0.0,23.0
5267,Thursday,17 December 2015,7.0,Moscone South,Poster Hall,0.0,Public Affairs,Volcanic Hazards,Poster,0.0,8.0
5268,Thursday,17 December 2015,6.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Mantle Plumes from Head to Toe,Poster,0.0,7.0
5269,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,"Stream Hydrology, Stream Temperature, Water Quality, and Aquatic Habitats under Climatic Variability and Change",Poster,0.0,12.0
5270,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Detecting and Attributing Impacts of Climate Change,Poster,0.0,14.0
5271,Monday,14 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Food Security in the Water-Food-Energy Nexus,Poster,0.0,13.0
5272,Friday,18 December 2015,23.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Vesta and Ceres as Seen by Dawn and Earth-Based Instruments,Poster,0.0,12.0
5273,Tuesday,15 December 2015,8.0,Moscone South,Poster Hall,0.0,Natural Hazards,"Advances in Tsunami Observation, Modeling, and Forecasting",Poster,0.0,12.0
5274,Monday,14 December 2015,6.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Advancements in Understanding Deep-Sea Clastic Sedimentary Processes,Poster,0.0,11.0
5275,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Erosion and Sediment Transport in Steep Landscapes,Poster,0.0,15.0
5276,Friday,18 December 2015,2.0,Moscone West,2006,0.0,Biogeosciences,Remote Sensing of Forests and Plantations in the Tropical and Subtropical Zones,Poster,0.0,11.0
5277,Wednesday,16 December 2015,3.0,Moscone West,3024,0.0,Near Surface Geophysics,Advances in Exploration Geophysics,Oral,0.0,12.0
5278,Tuesday,15 December 2015,5.0,Moscone South,Poster Hall,0.0,Hydrology,Ecohydrology of Disturbed Environments,Poster,0.0,14.0
5279,Tuesday,15 December 2015,8.0,Moscone West,3010,0.0,Atmospheric Sciences,Cloud-Scale Processes,Oral,0.0,12.0
5280,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Natural Hazards,Modeling of Natural Hazards,Poster,0.0,11.0
5281,Wednesday,16 December 2015,1.0,Moscone South,103,0.0,Public Affairs,Breaking through the Noise,Oral,0.0,10.0
5283,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,Hydrology,Regional to Global Surface Water Storage and Runoff,Poster,0.0,17.0
