,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
2939,Friday,18 December 2015,7.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Atmosphere Interactions,Poster,0.0,9.0
2940,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Understanding Land-Atmosphere Interactions,Poster,0.0,17.0
2941,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Profiling Float and New Technologies for Observation of Ocean Physics and Biogeochemistry,Poster,0.0,8.0
2942,Thursday,17 December 2015,2.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Mantle Plumes from Head to Toe,Poster,0.0,14.0
2943,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Seismic Anisotropy across Scales in the Mantle,Poster,0.0,10.0
2945,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Education,The Role of Scientists as Communicators,Poster,0.0,3.0
2946,Thursday,17 December 2015,2.0,Moscone West,3006,0.0,Atmospheric Sciences,Cloud Observations and Uncertainties,Poster,0.0,7.0
2947,Friday,18 December 2015,9.0,Moscone West,3016,0.0,Hydrology,Modeling the Critical Zone,Oral,1.0,9.0
2948,Thursday,17 December 2015,2.0,Moscone South,306,0.0,"Volcanology, Geochemistry and Petrology",Volcano-Atmosphere Interactions,Oral,0.0,6.0
2949,Tuesday,15 December 2015,5.0,Moscone West,2007,0.0,Planetary Sciences,Earth Analogues as Case Studies for Martian Geological Materials and Processes,Oral,0.0,10.0
2951,Wednesday,16 December 2015,5.0,Moscone West,3010,0.0,Atmospheric Sciences,Large-Scale Atmospheric Transport and Mixing,Poster,0.0,9.0
2952,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Assessing Water Footprint and the Impact of Water Quality on Water Availability,Poster,0.0,14.0
2955,Wednesday,16 December 2015,9.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,The Longitudinal Extent of Solar Energetic Particle Events,Poster,0.0,21.0
2956,Wednesday,16 December 2015,1.0,Moscone West,3022,0.0,Hydrology,"Evapotranspiration, Evaporative Demand, and Droughts",Oral,0.0,4.0
